FocusSector,Country,Companies
Food Processing,Finland,5
Food Processing,France,9
Food Processing,Germany,6
Food Processing,Ghana,3
Food Processing,Gibraltar,1
Food Processing,Greece,4
Food Processing,Hong Kong,21
Food Processing,Hungary,1
Food Processing,Iceland,5
Food Processing,India,220
Food Processing,Indonesia,54
Food Processing,Ireland,4
Food Processing,Israel,14
Food Processing,Italy,5
Food Processing,Ivory Coast,3
Food Processing,Jamaica,9
Food Processing,Japan,118
Food Processing,Jersey,2
Food Processing,Jordan,6
Food Processing,Kazakhstan,2
Food Processing,Kenya,4
Food Processing,Kuwait,1
Food Processing,Latvia,3
Food Processing,Lithuania,4
Food Processing,Luxembourg,1
Food Processing,Malawi,1
Food Processing,Malaysia,49
Food Processing,Mauritius,4
Food Processing,Mexico,5
Food Processing,Morocco,5
Food Processing,Netherlands,5
Food Processing,New Zealand,6
Food Processing,Nigeria,11
Food Processing,Norway,19
Food Processing,Oman,6
Food Processing,Pakistan,49
Food Processing,Palestinian Authority,3
Food Processing,Peru,6
Food Processing,Philippines,13
Food Processing,Poland,14
Food Processing,Qatar,3
Food Processing,Romania,9
Food Processing,Saudi Arabia,21
Food Processing,Serbia,1
Food Processing,Singapore,18
Food Processing,South Africa,11
Food Processing,South Korea,62
Food Processing,Spain,5
Food Processing,Sri Lanka,23
Food Processing,Sweden,9
Food Processing,Switzerland,9
Food Processing,Taiwan,30
Food Processing,Tanzania,1
Food Processing,Thailand,60
Food Processing,Trinidad & Tobago,1
Food Processing,Tunisia,2
Food Processing,Turkey,45
Food Processing,United Arab Emirates,2
Food Processing,United Kingdom,10
Food Processing,United States,78
Food Processing,Venezuela,3
Food Processing,Vietnam,40
Food Processing,Zambia,2
Green Energy & Fuels,Argentina,14
Green Energy & Fuels,Australia,113
Green Energy & Fuels,Austria,2
Green Energy & Fuels,Bangladesh,10
Green Energy & Fuels,Barbados,1
Green Energy & Fuels,Belgium,1
Green Energy & Fuels,Bermuda,8
Green Energy & Fuels,Brazil,22
Green Energy & Fuels,British Virgin Islands,2
Green Energy & Fuels,Bulgaria,1
Green Energy & Fuels,Canada,212
Green Energy & Fuels,Cayman Islands,2
Green Energy & Fuels,Chile,13
Green Energy & Fuels,China,148
Green Energy & Fuels,Colombia,5
Green Energy & Fuels,Cyprus,1
Green Energy & Fuels,Czech Republic,2
Green Energy & Fuels,Denmark,2
Green Energy & Fuels,Egypt,1
Green Energy & Fuels,Estonia,1
Green Energy & Fuels,Finland,1
Green Energy & Fuels,France,16
Green Energy & Fuels,Gabon,1
Green Energy & Fuels,Germany,12
Green Energy & Fuels,Greece,2
Green Energy & Fuels,Guernsey,3
Green Energy & Fuels,Hong Kong,46
Green Energy & Fuels,Hungary,4
Green Energy & Fuels,India,63
Green Energy & Fuels,Indonesia,49
Green Energy & Fuels,Ireland,5
Green Energy & Fuels,Isle of Man,2
Green Energy & Fuels,Israel,33
Green Energy & Fuels,Italy,13
Green Energy & Fuels,Ivory Coast,1
Green Energy & Fuels,Jamaica,2
Green Energy & Fuels,Japan,35
Green Energy & Fuels,Jersey,4
Green Energy & Fuels,Jordan,2
Green Energy & Fuels,Kazakhstan,4
Green Energy & Fuels,Kenya,4
Green Energy & Fuels,Kuwait,3
Green Energy & Fuels,Lithuania,4
Green Energy & Fuels,Luxembourg,1
Green Energy & Fuels,Malaysia,12
Green Energy & Fuels,Mauritius,2
Green Energy & Fuels,Mexico,3
Green Energy & Fuels,Morocco,1
Green Energy & Fuels,Netherlands,2
Green Energy & Fuels,New Zealand,6
Green Energy & Fuels,Nigeria,5
Green Energy & Fuels,Norway,21
Green Energy & Fuels,Oman,10
Green Energy & Fuels,Pakistan,23
Green Energy & Fuels,Peru,5
Green Energy & Fuels,Philippines,26
Green Energy & Fuels,Poland,11
Green Energy & Fuels,Portugal,2
Green Energy & Fuels,Qatar,1
Green Energy & Fuels,Romania,8
Green Energy & Fuels,Saudi Arabia,6
Green Energy & Fuels,Serbia,1
Green Energy & Fuels,Singapore,11
Green Energy & Fuels,Slovenia,1
Green Energy & Fuels,South Africa,3
Green Energy & Fuels,South Korea,20
Green Energy & Fuels,Spain,16
Green Energy & Fuels,Sri Lanka,8
Green Energy & Fuels,Sweden,7
Green Energy & Fuels,Switzerland,5
Green Energy & Fuels,Taiwan,18
Green Energy & Fuels,Thailand,33
Green Energy & Fuels,Turkey,36
Green Energy & Fuels,Uganda,1
Green Energy & Fuels,Ukraine,1
Green Energy & Fuels,United Arab Emirates,2
Green Energy & Fuels,United Kingdom,56
Green Energy & Fuels,United States,219
Green Energy & Fuels,Venezuela,1
Green Energy & Fuels,Vietnam,40
Green Energy & Fuels,Zambia,1
Medical Devices,Australia,29
Medical Devices,Bangladesh,2
Medical Devices,Belgium,5
Medical Devices,Bulgaria,3
Medical Devices,Canada,25
Medical Devices,China,138
Medical Devices,Costa Rica,1
Medical Devices,Denmark,5
Medical Devices,Finland,6
Medical Devices,France,18
Medical Devices,Germany,12
Medical Devices,Greece,1
Medical Devices,Hong Kong,8
Medical Devices,Iceland,1
Medical Devices,India,19
Medical Devices,Indonesia,4
Medical Devices,Ireland,1
Medical Devices,Israel,28
Medical Devices,Italy,6
Medical Devices,Japan,39
Medical Devices,Malaysia,9
Medical Devices,Netherlands,2
Medical Devices,New Zealand,2
Medical Devices,Norway,4
Medical Devices,Poland,15
Medical Devices,Qatar,1
Medical Devices,Romania,2
Medical Devices,Saudi Arabia,1
Medical Devices,Singapore,11
Medical Devices,South Korea,92
Medical Devices,Spain,1
Medical Devices,Sweden,54
Medical Devices,Switzerland,11
Medical Devices,Taiwan,58
Medical Devices,Thailand,3
Medical Devices,Turkey,3
Medical Devices,United Kingdom,18
Medical Devices,United States,204
Pharma & Bulk Drugs,Argentina,2
Pharma & Bulk Drugs,Australia,70
Pharma & Bulk Drugs,Austria,1
Pharma & Bulk Drugs,Bahamas,1
Pharma & Bulk Drugs,Bangladesh,20
Pharma & Bulk Drugs,Belgium,9
Pharma & Bulk Drugs,Bermuda,1
Pharma & Bulk Drugs,Brazil,4
Pharma & Bulk Drugs,British Virgin Islands,2
Pharma & Bulk Drugs,Bulgaria,2
Pharma & Bulk Drugs,Canada,132
Pharma & Bulk Drugs,Cayman Islands,4
Pharma & Bulk Drugs,China,386
Pharma & Bulk Drugs,Cyprus,1
Pharma & Bulk Drugs,Denmark,18
Pharma & Bulk Drugs,Egypt,10
Pharma & Bulk Drugs,Finland,3
Pharma & Bulk Drugs,France,41
Pharma & Bulk Drugs,Germany,23
Pharma & Bulk Drugs,Ghana,1
Pharma & Bulk Drugs,Greece,1
Pharma & Bulk Drugs,Hong Kong,31
Pharma & Bulk Drugs,Hungary,3
Pharma & Bulk Drugs,India,197
Pharma & Bulk Drugs,Indonesia,8
Pharma & Bulk Drugs,Ireland,8
Pharma & Bulk Drugs,Israel,39
Pharma & Bulk Drugs,Italy,5
Pharma & Bulk Drugs,Japan,73
Pharma & Bulk Drugs,Jordan,3
Pharma & Bulk Drugs,Luxembourg,2
Pharma & Bulk Drugs,Malaysia,8
Pharma & Bulk Drugs,Mexico,1
Pharma & Bulk Drugs,Morocco,2
Pharma & Bulk Drugs,Netherlands,6
Pharma & Bulk Drugs,New Zealand,5
Pharma & Bulk Drugs,Nigeria,4
Pharma & Bulk Drugs,Norway,17
Pharma & Bulk Drugs,Pakistan,11
Pharma & Bulk Drugs,Palestinian Authority,3
Pharma & Bulk Drugs,Philippines,1
Pharma & Bulk Drugs,Poland,20
Pharma & Bulk Drugs,Romania,2
Pharma & Bulk Drugs,Saudi Arabia,3
Pharma & Bulk Drugs,Singapore,6
Pharma & Bulk Drugs,Slovakia,1
Pharma & Bulk Drugs,Slovenia,1
Pharma & Bulk Drugs,South Africa,2
Pharma & Bulk Drugs,South Korea,226
Pharma & Bulk Drugs,Spain,9
Pharma & Bulk Drugs,Sweden,76
Pharma & Bulk Drugs,Switzerland,23
Pharma & Bulk Drugs,Taiwan,125
Pharma & Bulk Drugs,Thailand,3
Pharma & Bulk Drugs,Tunisia,2
Pharma & Bulk Drugs,Turkey,5
Pharma & Bulk Drugs,Uganda,1
Pharma & Bulk Drugs,United Arab Emirates,2
Pharma & Bulk Drugs,United Kingdom,43
Pharma & Bulk Drugs,United States,724
Pharma & Bulk Drugs,Uruguay,1
Pharma & Bulk Drugs,Vietnam,19
Shipbuilding & Marine,Argentina,1
Shipbuilding & Marine,Australia,3
Shipbuilding & Marine,Bahrain,1
Shipbuilding & Marine,Bangladesh,2
Shipbuilding & Marine,Bermuda,2
Shipbuilding & Marine,Brazil,2
Shipbuilding & Marine,Bulgaria,2
Shipbuilding & Marine,Canada,2
Shipbuilding & Marine,Chile,4
Shipbuilding & Marine,China,39
Shipbuilding & Marine,Croatia,6
Shipbuilding & Marine,Cyprus,3
Shipbuilding & Marine,Denmark,4
Shipbuilding & Marine,Ecuador,1
Shipbuilding & Marine,Egypt,4
Shipbuilding & Marine,Estonia,2
Shipbuilding & Marine,France,1
Shipbuilding & Marine,Germany,6
Shipbuilding & Marine,Greece,19
Shipbuilding & Marine,Guernsey,2
Shipbuilding & Marine,Hong Kong,18
Shipbuilding & Marine,Iceland,1
Shipbuilding & Marine,India,28
Shipbuilding & Marine,Indonesia,27
Shipbuilding & Marine,Israel,3
Shipbuilding & Marine,Italy,1
Shipbuilding & Marine,Jamaica,2
Shipbuilding & Marine,Japan,26
Shipbuilding & Marine,Jordan,2
Shipbuilding & Marine,Kuwait,2
Shipbuilding & Marine,Malaysia,12
Shipbuilding & Marine,Monaco,3
Shipbuilding & Marine,Morocco,1
Shipbuilding & Marine,New Zealand,3
Shipbuilding & Marine,Norway,9
Shipbuilding & Marine,Oman,1
Shipbuilding & Marine,Pakistan,3
Shipbuilding & Marine,Peru,2
Shipbuilding & Marine,Philippines,5
Shipbuilding & Marine,Poland,2
Shipbuilding & Marine,Qatar,1
Shipbuilding & Marine,Romania,4
Shipbuilding & Marine,Saudi Arabia,1
Shipbuilding & Marine,Singapore,8
Shipbuilding & Marine,Slovenia,1
Shipbuilding & Marine,South Africa,1
Shipbuilding & Marine,South Korea,11
Shipbuilding & Marine,Sweden,4
Shipbuilding & Marine,Switzerland,1
Shipbuilding & Marine,Taiwan,16
Shipbuilding & Marine,Thailand,8
Shipbuilding & Marine,Trinidad & Tobago,1
Shipbuilding & Marine,Turkey,4
Shipbuilding & Marine,United Arab Emirates,2
Shipbuilding & Marine,United Kingdom,5
Shipbuilding & Marine,United States,8
Shipbuilding & Marine,Vietnam,26
Specialty Steel & Metals,Argentina,2
Specialty Steel & Metals,Australia,515
Specialty Steel & Metals,Austria,2
Specialty Steel & Metals,Azerbaijan,1
Specialty Steel & Metals,Bahrain,1
Specialty Steel & Metals,Bangladesh,12
Specialty Steel & Metals,Belgium,6
Specialty Steel & Metals,Bermuda,2
Specialty Steel & Metals,Brazil,11
Specialty Steel & Metals,British Virgin Islands,10
Specialty Steel & Metals,Bulgaria,1
Specialty Steel & Metals,Canada,833
Specialty Steel & Metals,Chile,5
Specialty Steel & Metals,China,226
Specialty Steel & Metals,Cyprus,2
Specialty Steel & Metals,Dominican Republic,1
Specialty Steel & Metals,Egypt,7
Specialty Steel & Metals,Finland,2
Specialty Steel & Metals,France,5
Specialty Steel & Metals,Germany,5
Specialty Steel & Metals,Greece,9
Specialty Steel & Metals,Guernsey,2
Specialty Steel & Metals,Hong Kong,21
Specialty Steel & Metals,India,236
Specialty Steel & Metals,Indonesia,30
Specialty Steel & Metals,Ireland,5
Specialty Steel & Metals,Isle of Man,4
Specialty Steel & Metals,Israel,2
Specialty Steel & Metals,Italy,1
Specialty Steel & Metals,Japan,61
Specialty Steel & Metals,Jersey,1
Specialty Steel & Metals,Jordan,6
Specialty Steel & Metals,Kazakhstan,2
Specialty Steel & Metals,Kuwait,1
Specialty Steel & Metals,Luxembourg,3
Specialty Steel & Metals,Macedonia,1
Specialty Steel & Metals,Malaysia,41
Specialty Steel & Metals,Mauritius,1
Specialty Steel & Metals,Mexico,4
Specialty Steel & Metals,Mongolia,1
Specialty Steel & Metals,Morocco,6
Specialty Steel & Metals,Netherlands,1
Specialty Steel & Metals,New Zealand,4
Specialty Steel & Metals,Nigeria,2
Specialty Steel & Metals,Norway,4
Specialty Steel & Metals,Oman,3
Specialty Steel & Metals,Pakistan,13
Specialty Steel & Metals,Papua New Guinea,1
Specialty Steel & Metals,Peru,14
Specialty Steel & Metals,Philippines,19
Specialty Steel & Metals,Poland,11
Specialty Steel & Metals,Qatar,1
Specialty Steel & Metals,Romania,5
Specialty Steel & Metals,Russia,1
Specialty Steel & Metals,Saudi Arabia,16
Specialty Steel & Metals,Serbia,1
Specialty Steel & Metals,Singapore,3
Specialty Steel & Metals,Slovakia,1
Specialty Steel & Metals,Slovenia,1
Specialty Steel & Metals,South Africa,8
Specialty Steel & Metals,South Korea,90
Specialty Steel & Metals,Spain,5
Specialty Steel & Metals,Sri Lanka,4
Specialty Steel & Metals,Sweden,16
Specialty Steel & Metals,Switzerland,4
Specialty Steel & Metals,Taiwan,47
Specialty Steel & Metals,Thailand,27
Specialty Steel & Metals,Turkey,22
Specialty Steel & Metals,United Arab Emirates,1
Specialty Steel & Metals,United Kingdom,65
Specialty Steel & Metals,United States,92
Specialty Steel & Metals,Venezuela,1
Specialty Steel & Metals,Vietnam,22
Specialty Steel & Metals,Zambia,1
Textiles & Apparel,Argentina,1
Textiles & Apparel,Australia,3
Textiles & Apparel,Austria,1
Textiles & Apparel,Bangladesh,69
Textiles & Apparel,Belgium,1
Textiles & Apparel,Brazil,8
Textiles & Apparel,Bulgaria,1
Textiles & Apparel,Cambodia,1
Textiles & Apparel,Canada,8
Textiles & Apparel,Cayman Islands,5
Textiles & Apparel,Chile,1
Textiles & Apparel,China,138
Textiles & Apparel,Colombia,1
Textiles & Apparel,Croatia,2
Textiles & Apparel,Czech Republic,2
Textiles & Apparel,Denmark,2
Textiles & Apparel,Egypt,6
Textiles & Apparel,Finland,4
Textiles & Apparel,France,10
Textiles & Apparel,Germany,11
Textiles & Apparel,Greece,6
Textiles & Apparel,Hong Kong,84
Textiles & Apparel,India,399
Textiles & Apparel,Indonesia,17
Textiles & Apparel,Israel,5
Textiles & Apparel,Italy,22
Textiles & Apparel,Ivory Coast,1
Textiles & Apparel,Japan,63
Textiles & Apparel,Jordan,1
Textiles & Apparel,Lithuania,1
Textiles & Apparel,Luxembourg,1
Textiles & Apparel,Malaysia,14
Textiles & Apparel,Mauritius,1
Textiles & Apparel,Oman,1
Textiles & Apparel,Pakistan,100
Textiles & Apparel,Poland,9
Textiles & Apparel,Romania,4
Textiles & Apparel,Saudi Arabia,2
Textiles & Apparel,South Korea,72
Textiles & Apparel,Spain,2
Textiles & Apparel,Sri Lanka,6
Textiles & Apparel,Sweden,4
Textiles & Apparel,Switzerland,5
Textiles & Apparel,Taiwan,73
Textiles & Apparel,Thailand,19
Textiles & Apparel,Tunisia,1
Textiles & Apparel,Turkey,31
Textiles & Apparel,United Kingdom,7
Textiles & Apparel,United States,46
Textiles & Apparel,Venezuela,1
Textiles & Apparel,Vietnam,17
Textiles & Apparel,Zambia,1
White Goods & Electricals,Argentina,3
White Goods & Electricals,Australia,29
White Goods & Electricals,Austria,2
White Goods & Electricals,Bangladesh,15
White Goods & Electricals,Belgium,4
White Goods & Electricals,Brazil,5
White Goods & Electricals,Bulgaria,5
White Goods & Electricals,Canada,43
White Goods & Electricals,Cayman Islands,3
White Goods & Electricals,Chile,2
White Goods & Electricals,China,501
White Goods & Electricals,Croatia,2
White Goods & Electricals,Czech Republic,2
White Goods & Electricals,Denmark,6
White Goods & Electricals,Egypt,6
White Goods & Electricals,El Salvador,1
White Goods & Electricals,Estonia,3
White Goods & Electricals,Finland,6
White Goods & Electricals,France,27
White Goods & Electricals,Germany,22
White Goods & Electricals,Ghana,1
White Goods & Electricals,Gibraltar,1
White Goods & Electricals,Greece,2
White Goods & Electricals,Hong Kong,52
White Goods & Electricals,India,234
White Goods & Electricals,Indonesia,30
White Goods & Electricals,Ireland,3
White Goods & Electricals,Israel,29
White Goods & Electricals,Italy,24
White Goods & Electricals,Ivory Coast,2
White Goods & Electricals,Jamaica,1
White Goods & Electricals,Japan,114
White Goods & Electricals,Jordan,2
White Goods & Electricals,Kuwait,1
White Goods & Electricals,Latvia,1
White Goods & Electricals,Lithuania,1
White Goods & Electricals,Malaysia,56
White Goods & Electricals,Mauritius,1
White Goods & Electricals,Mexico,2
White Goods & Electricals,Netherlands,5
White Goods & Electricals,New Zealand,3
White Goods & Electricals,Nigeria,7
White Goods & Electricals,Norway,4
White Goods & Electricals,Oman,3
White Goods & Electricals,Pakistan,14
White Goods & Electricals,Philippines,2
White Goods & Electricals,Poland,24
White Goods & Electricals,Portugal,1
White Goods & Electricals,Romania,11
White Goods & Electricals,Saudi Arabia,11
White Goods & Electricals,Serbia,1
White Goods & Electricals,Singapore,7
White Goods & Electricals,South Africa,2
White Goods & Electricals,South Korea,177
White Goods & Electricals,Spain,10
White Goods & Electricals,Sri Lanka,10
White Goods & Electricals,Sweden,40
White Goods & Electricals,Switzerland,10
White Goods & Electricals,Taiwan,152
White Goods & Electricals,Thailand,42
White Goods & Electricals,Trinidad & Tobago,1
White Goods & Electricals,Tunisia,4
White Goods & Electricals,Turkey,33
White Goods & Electricals,United Arab Emirates,1
White Goods & Electricals,United Kingdom,38
White Goods & Electricals,United States,249
White Goods & Electricals,Vietnam,22
White Goods & Electricals,Zambia,1
